pair,total_responses,odd_responses,odd_responses/total_responses,complete,candidates
81,10000,3800,0.3800000000,0,34949
82,10000,3777,0.3777000000,0,34544
83,10000,3777,0.3777000000,0,38265
84,10000,3697,0.3697000000,0,37796
85,10000,3744,0.3744000000,0,40858
86,10000,3733,0.3733000000,0,36700
87,10000,3778,0.3778000000,0,39355
88,10000,3731,0.3731000000,0,33124
89,10000,3704,0.3704000000,0,34839
90,10000,3737,0.3737000000,0,36535
91,10000,3735,0.3735000000,0,34969
92,10000,3737,0.3737000000,0,37280
93,10000,3795,0.3795000000,0,43358
94,10000,3746,0.3746000000,0,35199
95,10000,3637,0.3637000000,0,34929
96,10000,3746,0.3746000000,0,34265
97,10000,3760,0.3760000000,0,37463
98,10000,3782,0.3782000000,0,38679
99,10000,3746,0.3746000000,0,33937
100,10000,3674,0.3674000000,0,38030
101,10000,3775,0.3775000000,0,37545
102,10000,3734,0.3734000000,0,34815
103,10000,3720,0.3720000000,0,44871
104,10000,3753,0.3753000000,0,36693
105,10000,3675,0.3675000000,0,34880
106,10000,3772,0.3772000000,0,35006
107,10000,3676,0.3676000000,0,41023
108,10000,3774,0.3774000000,0,43144
109,10000,3698,0.3698000000,0,34779
110,10000,3732,0.3732000000,0,35676
111,10000,3821,0.3821000000,0,36016
112,10000,3770,0.3770000000,0,38956
113,10000,3778,0.3778000000,0,37949
114,10000,3667,0.3667000000,0,35617
115,10000,3851,0.3851000000,0,33683
116,10000,3727,0.3727000000,0,41711
117,10000,3802,0.3802000000,0,36702
118,10000,3788,0.3788000000,0,41139
119,10000,3756,0.3756000000,0,34097
120,10000,3778,0.3778000000,0,37140
121,10000,3711,0.3711000000,0,37666
122,10000,3747,0.3747000000,0,34539
123,10000,3800,0.3800000000,0,37946
124,10000,3807,0.3807000000,0,38759
125,10000,3751,0.3751000000,0,37295
126,10000,3769,0.3769000000,0,36466
127,10000,3699,0.3699000000,0,37345
128,10000,3834,0.3834000000,0,35251
129,10000,3757,0.3757000000,0,39107
130,10000,3772,0.3772000000,0,40384
131,10000,3727,0.3727000000,0,37188
132,10000,3791,0.3791000000,0,35511
133,10000,3825,0.3825000000,0,39926
134,10000,3770,0.3770000000,0,35341
135,10000,3778,0.3778000000,0,38884
136,10000,3738,0.3738000000,0,37928
137,10000,3691,0.3691000000,0,38620
138,10000,3724,0.3724000000,0,37823
139,10000,3754,0.3754000000,0,35413
140,10000,3845,0.3845000000,0,38622
141,10000,3683,0.3683000000,0,34337
142,10000,3756,0.3756000000,0,39863
143,10000,3732,0.3732000000,0,46343
144,10000,3675,0.3675000000,0,38046
145,10000,3727,0.3727000000,0,37047
146,10000,3768,0.3768000000,0,35230
147,10000,3794,0.3794000000,0,35727
148,10000,3671,0.3671000000,0,38996
149,10000,3805,0.3805000000,0,33382
150,10000,3624,0.3624000000,0,35551
151,10000,3757,0.3757000000,0,38041
152,10000,3738,0.3738000000,0,33513
153,10000,3837,0.3837000000,0,43680
154,10000,3741,0.3741000000,0,36997
155,10000,3774,0.3774000000,0,37508
156,10000,3723,0.3723000000,0,40651
157,10000,3711,0.3711000000,0,42557
158,10000,3723,0.3723000000,0,34987
159,10000,3852,0.3852000000,0,39736
160,10000,3759,0.3759000000,0,35702
161,10000,3705,0.3705000000,0,42349
162,10000,3766,0.3766000000,0,35566
163,10000,3745,0.3745000000,0,37954
164,10000,3696,0.3696000000,0,35126
165,10000,3693,0.3693000000,0,39588
166,10000,3722,0.3722000000,0,41098
167,10000,3814,0.3814000000,0,36150
168,10000,3823,0.3823000000,0,35371
169,10000,3700,0.3700000000,0,34609
170,10000,3764,0.3764000000,0,36334
171,10000,3812,0.3812000000,0,33996
172,10000,3696,0.3696000000,0,37612
173,10000,3696,0.3696000000,0,37837
174,10000,3736,0.3736000000,0,35247
175,10000,3739,0.3739000000,0,38712
176,10000,3665,0.3665000000,0,35817
177,10000,3731,0.3731000000,0,41224
178,10000,3782,0.3782000000,0,38633
179,10000,3888,0.3888000000,0,36746
180,10000,3719,0.3719000000,0,36637
181,10000,3680,0.3680000000,0,37483
182,10000,3802,0.3802000000,0,35477
183,10000,3776,0.3776000000,0,44647
184,10000,3794,0.3794000000,0,40968
185,10000,3696,0.3696000000,0,40193
186,10000,3748,0.3748000000,0,43109
187,10000,3650,0.3650000000,0,34232
188,10000,3700,0.3700000000,0,35925
189,10000,3719,0.3719000000,0,35644
190,10000,3780,0.3780000000,0,42091
191,10000,3672,0.3672000000,0,37292
192,10000,3734,0.3734000000,0,39223
193,10000,3709,0.3709000000,0,35964
194,10000,3743,0.3743000000,0,36866
195,10000,3762,0.3762000000,0,35609
196,10000,3771,0.3771000000,0,35009
197,10000,3728,0.3728000000,0,42104
198,10000,3868,0.3868000000,0,35017
199,10000,3710,0.3710000000,0,34979
200,10000,3630,0.3630000000,0,35364
201,10000,3778,0.3778000000,0,39498
202,10000,3739,0.3739000000,0,42424
203,10000,3801,0.3801000000,0,35978
204,10000,3874,0.3874000000,0,37912
205,10000,3806,0.3806000000,0,35362
206,10000,3753,0.3753000000,0,38020
207,10000,3732,0.3732000000,0,35883
208,10000,3751,0.3751000000,0,37528
209,10000,3684,0.3684000000,0,38039
210,10000,3812,0.3812000000,0,33887
211,10000,3733,0.3733000000,0,39083
212,10000,3733,0.3733000000,0,36014
213,10000,3763,0.3763000000,0,37617
214,10000,3692,0.3692000000,0,44683
215,10000,3755,0.3755000000,0,34978
216,10000,3657,0.3657000000,0,39074
217,10000,3727,0.3727000000,0,34230
218,10000,3648,0.3648000000,0,39476
219,10000,3772,0.3772000000,0,39210
220,10000,3733,0.3733000000,0,37247
221,10000,3761,0.3761000000,0,40172
222,10000,3793,0.3793000000,0,35450
223,10000,3748,0.3748000000,0,38553
224,10000,3709,0.3709000000,0,41574
225,10000,3726,0.3726000000,0,37479
226,10000,3778,0.3778000000,0,40312
227,10000,3755,0.3755000000,0,38175
228,10000,3663,0.3663000000,0,34581
229,10000,3815,0.3815000000,0,40875
230,10000,3722,0.3722000000,0,37731
231,10000,3822,0.3822000000,0,41247
232,10000,3796,0.3796000000,0,37651
233,10000,3733,0.3733000000,0,39048
234,10000,3796,0.3796000000,0,38333
235,10000,3822,0.3822000000,0,35857
236,10000,3760,0.3760000000,0,36474
237,10000,3660,0.3660000000,0,41442
238,10000,3750,0.3750000000,0,40226
239,10000,3760,0.3760000000,0,40959
240,10000,3682,0.3682000000,0,35965
241,10000,3707,0.3707000000,0,34989
242,10000,3795,0.3795000000,0,36852
243,10000,3739,0.3739000000,0,40712
244,10000,3736,0.3736000000,0,38178
245,10000,3783,0.3783000000,0,41616
246,10000,3773,0.3773000000,0,36077
247,10000,3622,0.3622000000,0,34820
248,10000,3774,0.3774000000,0,37735
249,10000,3575,0.3575000000,0,37282
250,10000,3786,0.3786000000,0,42936
251,10000,3672,0.3672000000,0,38547
252,10000,3663,0.3663000000,0,35690
253,10000,3759,0.3759000000,0,36094
254,10000,3696,0.3696000000,0,36487
255,10000,3667,0.3667000000,0,33971
256,10000,3731,0.3731000000,0,39961
257,10000,3707,0.3707000000,0,38567
258,10000,3707,0.3707000000,0,39731
259,10000,3677,0.3677000000,0,37348
260,10000,3773,0.3773000000,0,36873
261,10000,3728,0.3728000000,0,37389
262,10000,3747,0.3747000000,0,41670
263,10000,3740,0.3740000000,0,33700
264,10000,3800,0.3800000000,0,39589
265,10000,3779,0.3779000000,0,39459
266,10000,3710,0.3710000000,0,38150
267,10000,3753,0.3753000000,0,35092
268,10000,3720,0.3720000000,0,37361
269,10000,3729,0.3729000000,0,34948
270,10000,3753,0.3753000000,0,38111
271,10000,3757,0.3757000000,0,37180
272,10000,3696,0.3696000000,0,45461
273,10000,3780,0.3780000000,0,37536
274,10000,3787,0.3787000000,0,37560
275,10000,3709,0.3709000000,0,36453
276,10000,3714,0.3714000000,0,36274
277,10000,3766,0.3766000000,0,42244
278,10000,3747,0.3747000000,0,38419
279,10000,3710,0.3710000000,0,33228
280,10000,3713,0.3713000000,0,36723
281,10000,3675,0.3675000000,0,32458
282,10000,3705,0.3705000000,0,46019
283,10000,3747,0.3747000000,0,37085
284,10000,3754,0.3754000000,0,35653
285,10000,3707,0.3707000000,0,37832
286,10000,3794,0.3794000000,0,37449
287,10000,3700,0.3700000000,0,36683
288,10000,3693,0.3693000000,0,34835
289,10000,3723,0.3723000000,0,40760
290,10000,3750,0.3750000000,0,36823
291,10000,3730,0.3730000000,0,35383
292,10000,3770,0.3770000000,0,35304
293,10000,3741,0.3741000000,0,39354
294,10000,3766,0.3766000000,0,36295
295,10000,3693,0.3693000000,0,34986
296,10000,3767,0.3767000000,0,35196
297,10000,3767,0.3767000000,0,34252
298,10000,3763,0.3763000000,0,38027
299,10000,3731,0.3731000000,0,40160
300,10000,3786,0.3786000000,0,37987
301,10000,3751,0.3751000000,0,38658
302,10000,3717,0.3717000000,0,37945
303,10000,3736,0.3736000000,0,36553
304,10000,3737,0.3737000000,0,40568
305,10000,3839,0.3839000000,0,34130
306,10000,3774,0.3774000000,0,36694
307,10000,3758,0.3758000000,0,33103
308,10000,3689,0.3689000000,0,41350
309,10000,3762,0.3762000000,0,38861
310,10000,3674,0.3674000000,0,34784
311,10000,3747,0.3747000000,0,38296
312,10000,3815,0.3815000000,0,40313
313,10000,3697,0.3697000000,0,39627
314,10000,3811,0.3811000000,0,35104
315,10000,3758,0.3758000000,0,37420
316,10000,3777,0.3777000000,0,36274
317,10000,3706,0.3706000000,0,41357
318,10000,3750,0.3750000000,0,35823
319,10000,3731,0.3731000000,0,36771
320,10000,3715,0.3715000000,0,39775
321,10000,3752,0.3752000000,0,35339
322,10000,3751,0.3751000000,0,37025
323,10000,3778,0.3778000000,0,35855
324,10000,3633,0.3633000000,0,40549
325,10000,3724,0.3724000000,0,37788
326,10000,3780,0.3780000000,0,40702
327,10000,3724,0.3724000000,0,37826
328,10000,3754,0.3754000000,0,36960
329,10000,3627,0.3627000000,0,36794
330,10000,3746,0.3746000000,0,36610
331,10000,3785,0.3785000000,0,41587
332,10000,3782,0.3782000000,0,35390
333,10000,3823,0.3823000000,0,35617
334,10000,3784,0.3784000000,0,36307
335,10000,3764,0.3764000000,0,35445
336,10000,3732,0.3732000000,0,38950
337,10000,3720,0.3720000000,0,36010
338,10000,3813,0.3813000000,0,35017
339,10000,3831,0.3831000000,0,37930
340,10000,3840,0.3840000000,0,37824
341,10000,3721,0.3721000000,0,38215
342,10000,3780,0.3780000000,0,33919
343,10000,3772,0.3772000000,0,35956
344,10000,3780,0.3780000000,0,36229
345,10000,3725,0.3725000000,0,40335
346,10000,3766,0.3766000000,0,36653
347,10000,3830,0.3830000000,0,38411
348,10000,3701,0.3701000000,0,34906
349,10000,3744,0.3744000000,0,39701
350,10000,3751,0.3751000000,0,39734
351,10000,3800,0.3800000000,0,35701
352,10000,3751,0.3751000000,0,37717
353,10000,3725,0.3725000000,0,35238
354,10000,3741,0.3741000000,0,35086
355,10000,3793,0.3793000000,0,42340
356,10000,3720,0.3720000000,0,40510
357,10000,3760,0.3760000000,0,39767
358,10000,3760,0.3760000000,0,34489
359,10000,3789,0.3789000000,0,38055
360,10000,3749,0.3749000000,0,37332
361,10000,3715,0.3715000000,0,40185
362,10000,3676,0.3676000000,0,37070
363,10000,3666,0.3666000000,0,38704
364,10000,3777,0.3777000000,0,38686
365,10000,3770,0.3770000000,0,38905
366,10000,3805,0.3805000000,0,39548
367,10000,3751,0.3751000000,0,35289
368,10000,3695,0.3695000000,0,37445
369,10000,3829,0.3829000000,0,34409
370,10000,3801,0.3801000000,0,36782
371,10000,3670,0.3670000000,0,41860
372,10000,3754,0.3754000000,0,47048
373,10000,3778,0.3778000000,0,37089
374,10000,3820,0.3820000000,0,36114
375,10000,3728,0.3728000000,0,41711
376,10000,3697,0.3697000000,0,40218
377,10000,3677,0.3677000000,0,39131
378,10000,3752,0.3752000000,0,40464
379,10000,3786,0.3786000000,0,42788
380,10000,3760,0.3760000000,0,37977
381,10000,3813,0.3813000000,0,37616
382,10000,3815,0.3815000000,0,38507
383,10000,3764,0.3764000000,0,37674
384,10000,3696,0.3696000000,0,38505
385,10000,3724,0.3724000000,0,35432
386,10000,3683,0.3683000000,0,32840
387,10000,3732,0.3732000000,0,35291
388,10000,3709,0.3709000000,0,41792
389,10000,3719,0.3719000000,0,32765
390,10000,3755,0.3755000000,0,38226
391,10000,3756,0.3756000000,0,34410
392,10000,3794,0.3794000000,0,40333
393,10000,3790,0.3790000000,0,37232
394,10000,3731,0.3731000000,0,36964
395,10000,3813,0.3813000000,0,35953
396,10000,3778,0.3778000000,0,35960
397,10000,3861,0.3861000000,0,35625
398,10000,3814,0.3814000000,0,33562
399,10000,3709,0.3709000000,0,44806
400,10000,3649,0.3649000000,0,45222
401,10000,3672,0.3672000000,0,36998
402,10000,3760,0.3760000000,0,38536
403,10000,3744,0.3744000000,0,39678
404,10000,3760,0.3760000000,0,34483
405,10000,3751,0.3751000000,0,41208
406,10000,3746,0.3746000000,0,33416
407,10000,3823,0.3823000000,0,35800
408,10000,3785,0.3785000000,0,44661
409,10000,3728,0.3728000000,0,36576
410,10000,3703,0.3703000000,0,38655
411,10000,3702,0.3702000000,0,39106
412,10000,3793,0.3793000000,0,38061
413,10000,3763,0.3763000000,0,32673
414,10000,3802,0.3802000000,0,38872
415,10000,3689,0.3689000000,0,39975
416,10000,3752,0.3752000000,0,37107
417,10000,3777,0.3777000000,0,38309
418,10000,3783,0.3783000000,0,45594
419,10000,3757,0.3757000000,0,34495
420,10000,3786,0.3786000000,0,36608
421,10000,3689,0.3689000000,0,37069
422,10000,3792,0.3792000000,0,34480
423,10000,3828,0.3828000000,0,33132
424,10000,3714,0.3714000000,0,37532
425,10000,3858,0.3858000000,0,36552
426,10000,3765,0.3765000000,0,38607
427,10000,3791,0.3791000000,0,39707
428,10000,3685,0.3685000000,0,35651
429,10000,3786,0.3786000000,0,36506
430,10000,3667,0.3667000000,0,36337
431,10000,3794,0.3794000000,0,44946
432,10000,3740,0.3740000000,0,34422
433,10000,3732,0.3732000000,0,33859
434,10000,3838,0.3838000000,0,34744
435,10000,3758,0.3758000000,0,36416
436,10000,3800,0.3800000000,0,37452
437,10000,3716,0.3716000000,0,37137
438,10000,3755,0.3755000000,0,36708
439,10000,3713,0.3713000000,0,36343
440,10000,3826,0.3826000000,0,34115
441,10000,3670,0.3670000000,0,34655
442,10000,3734,0.3734000000,0,34809
443,10000,3792,0.3792000000,0,44032
444,10000,3774,0.3774000000,0,35342
445,10000,3778,0.3778000000,0,38502
446,10000,3759,0.3759000000,0,38233
447,10000,3806,0.3806000000,0,39489
448,10000,3738,0.3738000000,0,35694
449,10000,3659,0.3659000000,0,34823
450,10000,3786,0.3786000000,0,41186
451,10000,3719,0.3719000000,0,42206
452,10000,3741,0.3741000000,0,40461
453,10000,3705,0.3705000000,0,38204
454,10000,3799,0.3799000000,0,39622
455,10000,3731,0.3731000000,0,36226
456,10000,3754,0.3754000000,0,40087
457,10000,3710,0.3710000000,0,36520
458,10000,3775,0.3775000000,0,35111
459,10000,3802,0.3802000000,0,39843
460,10000,3740,0.3740000000,0,34025
461,10000,3703,0.3703000000,0,36642
462,10000,3780,0.3780000000,0,39489
463,10000,3824,0.3824000000,0,42973
464,10000,3694,0.3694000000,0,41519
465,10000,3740,0.3740000000,0,34362
466,10000,3705,0.3705000000,0,38834
467,10000,3699,0.3699000000,0,34595
468,10000,3707,0.3707000000,0,33493
469,10000,3670,0.3670000000,0,43804
470,10000,3759,0.3759000000,0,34193
471,10000,3775,0.3775000000,0,36664
472,10000,3711,0.3711000000,0,35710
473,10000,3728,0.3728000000,0,39562
474,10000,3759,0.3759000000,0,36417
475,10000,3711,0.3711000000,0,37798
476,10000,3746,0.3746000000,0,40979
477,10000,3754,0.3754000000,0,37649
478,10000,3700,0.3700000000,0,37720
479,10000,3780,0.3780000000,0,38688
480,10000,3742,0.3742000000,0,37081
481,10000,3746,0.3746000000,0,39259
482,10000,3705,0.3705000000,0,33299
483,10000,3805,0.3805000000,0,36187
484,10000,3827,0.3827000000,0,36349
485,10000,3762,0.3762000000,0,42149
486,10000,3737,0.3737000000,0,35169
487,10000,3747,0.3747000000,0,39842
488,10000,3720,0.3720000000,0,36826
489,10000,3731,0.3731000000,0,39001
490,10000,3663,0.3663000000,0,36536
491,10000,3779,0.3779000000,0,36886
492,10000,3734,0.3734000000,0,35266
493,10000,3713,0.3713000000,0,37864
494,10000,3753,0.3753000000,0,37141
495,10000,3754,0.3754000000,0,36088
496,10000,3701,0.3701000000,0,35556
497,10000,3835,0.3835000000,0,33765
498,10000,3724,0.3724000000,0,43004
499,10000,3716,0.3716000000,0,35565
500,10000,3825,0.3825000000,0,38380
501,10000,3775,0.3775000000,0,39465
502,10000,3755,0.3755000000,0,35431
503,10000,3786,0.3786000000,0,37597
504,10000,3716,0.3716000000,0,38645
505,10000,3661,0.3661000000,0,39618
506,10000,3788,0.3788000000,0,36280
507,10000,3777,0.3777000000,0,38809
508,10000,3798,0.3798000000,0,40235
509,10000,3685,0.3685000000,0,45216
510,10000,3754,0.3754000000,0,43724
511,10000,3753,0.3753000000,0,35108
512,10000,3802,0.3802000000,0,36599
513,10000,3842,0.3842000000,0,45569
514,10000,3721,0.3721000000,0,36009
515,10000,3763,0.3763000000,0,37692
516,10000,3740,0.3740000000,0,34268
517,10000,3720,0.3720000000,0,33934
518,10000,3864,0.3864000000,0,37770
519,10000,3671,0.3671000000,0,41269
520,10000,3727,0.3727000000,0,34544
521,10000,3732,0.3732000000,0,34350
522,10000,3833,0.3833000000,0,35126
523,10000,3725,0.3725000000,0,33636
524,10000,3809,0.3809000000,0,38002
525,10000,3767,0.3767000000,0,40241
526,10000,3711,0.3711000000,0,34066
527,10000,3738,0.3738000000,0,36742
528,10000,3754,0.3754000000,0,39469
529,10000,3704,0.3704000000,0,37309
530,10000,3723,0.3723000000,0,36678
531,10000,3755,0.3755000000,0,36034
532,10000,3748,0.3748000000,0,40069
533,10000,3803,0.3803000000,0,36331
534,10000,3736,0.3736000000,0,37477
535,10000,3804,0.3804000000,0,40815
536,10000,3768,0.3768000000,0,34920
537,10000,3691,0.3691000000,0,39415
538,10000,3644,0.3644000000,0,36504
539,10000,3697,0.3697000000,0,36438
540,10000,3799,0.3799000000,0,35460
541,10000,3722,0.3722000000,0,37132
542,10000,3767,0.3767000000,0,33672
543,10000,3765,0.3765000000,0,34014
544,10000,3731,0.3731000000,0,35174
545,10000,3799,0.3799000000,0,35459
546,10000,3672,0.3672000000,0,38098
547,10000,3776,0.3776000000,0,44608
548,10000,3719,0.3719000000,0,33617
549,10000,3754,0.3754000000,0,38591
550,10000,3763,0.3763000000,0,35909
551,10000,3751,0.3751000000,0,37398
552,10000,3804,0.3804000000,0,34077
553,10000,3708,0.3708000000,0,35955
554,10000,3792,0.3792000000,0,42743
555,10000,3689,0.3689000000,0,37607
556,10000,3685,0.3685000000,0,44994
557,10000,3740,0.3740000000,0,34244
558,10000,3830,0.3830000000,0,42505
559,10000,3789,0.3789000000,0,39875
560,10000,3712,0.3712000000,0,38167
561,10000,3841,0.3841000000,0,36944
562,10000,3700,0.3700000000,0,39413
563,10000,3716,0.3716000000,0,44492
564,10000,3836,0.3836000000,0,37212
565,10000,3817,0.3817000000,0,35505
566,10000,3639,0.3639000000,0,35959
567,10000,3769,0.3769000000,0,37652
568,10000,3654,0.3654000000,0,34507
569,10000,3734,0.3734000000,0,38537
570,10000,3789,0.3789000000,0,35802
571,10000,3746,0.3746000000,0,39317
572,10000,3736,0.3736000000,0,35795
573,10000,3786,0.3786000000,0,41798
574,10000,3800,0.3800000000,0,37590
575,10000,3772,0.3772000000,0,39076
576,10000,3661,0.3661000000,0,45490
577,10000,3809,0.3809000000,0,36067
578,10000,3777,0.3777000000,0,34667
579,10000,3742,0.3742000000,0,32893
580,10000,3701,0.3701000000,0,34512
581,10000,3762,0.3762000000,0,36795
582,10000,3760,0.3760000000,0,35866
583,10000,3719,0.3719000000,0,38494
584,10000,3766,0.3766000000,0,34422
585,10000,3810,0.3810000000,0,33932
586,10000,3787,0.3787000000,0,34027
587,10000,3751,0.3751000000,0,37030
588,10000,3753,0.3753000000,0,35036
589,10000,3792,0.3792000000,0,35426
590,10000,3733,0.3733000000,0,37551
591,10000,3743,0.3743000000,0,36985
592,10000,3716,0.3716000000,0,38185
593,10000,3784,0.3784000000,0,36519
594,10000,3727,0.3727000000,0,38674
595,10000,3724,0.3724000000,0,34543
596,10000,3787,0.3787000000,0,35624
597,10000,3715,0.3715000000,0,42037
598,10000,3721,0.3721000000,0,34179
599,10000,3812,0.3812000000,0,42554
600,10000,3865,0.3865000000,0,40418
601,10000,3658,0.3658000000,0,34318
602,10000,3801,0.3801000000,0,39595
603,10000,3690,0.3690000000,0,36564
604,10000,3799,0.3799000000,0,35932
605,10000,3704,0.3704000000,0,37060
606,10000,3729,0.3729000000,0,35990
607,10000,3823,0.3823000000,0,34856
608,10000,3762,0.3762000000,0,42033
609,10000,3738,0.3738000000,0,36124
610,10000,3765,0.3765000000,0,38153
611,10000,3760,0.3760000000,0,36806
612,10000,3710,0.3710000000,0,41870
613,10000,3737,0.3737000000,0,35777
614,10000,3755,0.3755000000,0,39790
615,10000,3681,0.3681000000,0,36685
616,10000,3796,0.3796000000,0,34450
617,10000,3750,0.3750000000,0,34473
618,10000,3712,0.3712000000,0,44737
619,10000,3774,0.3774000000,0,33185
620,10000,3700,0.3700000000,0,38965
621,10000,3765,0.3765000000,0,39512
622,10000,3920,0.3920000000,0,35713
623,10000,3744,0.3744000000,0,35960
624,10000,3772,0.3772000000,0,36454
625,10000,3781,0.3781000000,0,35969
626,10000,3802,0.3802000000,0,38874
627,10000,3810,0.3810000000,0,37402
628,10000,3857,0.3857000000,0,34887
629,10000,3772,0.3772000000,0,33333
630,10000,3654,0.3654000000,0,37583
631,10000,3698,0.3698000000,0,35128
632,10000,3761,0.3761000000,0,37772
633,10000,3766,0.3766000000,0,36057
634,10000,3672,0.3672000000,0,39655
635,10000,3825,0.3825000000,0,40207
636,10000,3712,0.3712000000,0,43837
637,10000,3683,0.3683000000,0,38533
638,10000,3775,0.3775000000,0,33390
639,10000,3787,0.3787000000,0,41334
640,10000,3797,0.3797000000,0,38999
641,10000,3780,0.3780000000,0,36217
642,10000,3828,0.3828000000,0,42768
643,10000,3728,0.3728000000,0,34919
644,10000,3729,0.3729000000,0,34863
645,10000,3830,0.3830000000,0,34112
646,10000,3778,0.3778000000,0,35293
647,10000,3677,0.3677000000,0,39123
648,10000,3720,0.3720000000,0,36598
649,10000,3727,0.3727000000,0,39735
650,10000,3680,0.3680000000,0,36696
651,10000,3696,0.3696000000,0,36679
652,10000,3735,0.3735000000,0,33034
653,10000,3721,0.3721000000,0,38785
654,10000,3706,0.3706000000,0,37356
655,10000,3773,0.3773000000,0,38730
656,10000,3701,0.3701000000,0,39210
657,10000,3653,0.3653000000,0,35882
658,10000,3741,0.3741000000,0,35360
659,10000,3733,0.3733000000,0,36309
660,10000,3747,0.3747000000,0,36460
661,10000,3728,0.3728000000,0,40024
662,10000,3785,0.3785000000,0,40743
663,10000,3773,0.3773000000,0,36578
664,10000,3774,0.3774000000,0,37128
665,10000,3658,0.3658000000,0,39477
666,10000,3671,0.3671000000,0,38258
667,10000,3795,0.3795000000,0,36431
668,10000,3779,0.3779000000,0,39146
669,10000,3736,0.3736000000,0,40043
670,10000,3777,0.3777000000,0,43183
671,10000,3793,0.3793000000,0,40357
672,10000,3754,0.3754000000,0,40469
673,10000,3747,0.3747000000,0,37196
674,10000,3744,0.3744000000,0,34929
675,10000,3691,0.3691000000,0,35138
676,10000,3801,0.3801000000,0,40210
677,10000,3783,0.3783000000,0,36446
678,10000,3759,0.3759000000,0,35759
679,10000,3723,0.3723000000,0,34632
680,10000,3717,0.3717000000,0,34123
681,10000,3816,0.3816000000,0,35419
682,10000,3706,0.3706000000,0,34834
683,10000,3723,0.3723000000,0,36798
684,10000,3776,0.3776000000,0,36715
685,10000,3802,0.3802000000,0,44185
686,10000,3749,0.3749000000,0,49285
687,10000,3711,0.3711000000,0,33893
688,10000,3819,0.3819000000,0,39348
689,10000,3738,0.3738000000,0,36831
690,10000,3698,0.3698000000,0,38144
691,10000,3831,0.3831000000,0,35108
692,10000,3732,0.3732000000,0,37460
693,10000,3775,0.3775000000,0,38792
694,10000,3818,0.3818000000,0,39490
695,10000,3785,0.3785000000,0,39411
